,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
4368,Yodlee,"Work Life Balance, Company Culture, Salary","Work Satisfaction, Skill Development, Job Security",3.8,255,1.6k,18,--,Software Product | Bengaluru +5 other locations,NA
4369,Madras Radiators and Pressings Limited,"Job Security, Promotions, Salary",,3.5,255,388,5,--,Auto Components | Chennai +11 other locations,NA
4370,AAFT,"Company Culture, Work Life Balance, Work Satisfaction",,4.2,255,488,24,2,EdTech | Noida +7 other locations,NA
4371,Hawkins Cookers,"Promotions, Company Culture, Work Life Balance",,3.6,255,842,23,--,Consumer Electronics & Appliances | Mumbai +40 other locations,NA
4372,J. C. Penney,"Work Life Balance, Company Culture",Promotions,3.9,255,1.6k,21,14,Retail | Bengaluru +8 other locations,NA
4373,Eaton Power Quality,"Company Culture, Skill Development, Work Life Balance",Promotions,4.1,255,1.2k,12,--,Electronics Manufacturing | Puducherry +19 other locations,NA
4374,Oriental Carbon & Chemicals,"Work Life Balance, Job Security, Company Culture",,4.3,255,981,24,--,Chemicals | Mundra +16 other locations,NA
4375,ACN Health care,"Promotions, Company Culture, Work Satisfaction",,3.3,256,1k,16,6,BPO | Bengaluru +6 other locations,NA
4376,Steel Infra Solutions,"Company Culture, Work Satisfaction, Promotions",,3.5,255,933,16,6,Bhilai Nagar +18 other locations,NA
4377,Catch Foods,"Salary, Company Culture, Work Life Balance",Promotions,4.1,255,403,17,--,Food Processing | Noida +70 other locations,NA
4378,Hill International,"Work Life Balance, Company Culture, Work Satisfaction",,4.3,256,762,11,12,Engineering & Construction | Mumbai +26 other locations,NA
4379,Quality Council of India,"Promotions, Job Security, Skill Development",,3.3,255,1.5k,25,4,New Delhi +23 other locations,NA
4380,Oriental Aromatics,"Promotions, Company Culture, Work Satisfaction",,3.5,255,1.4k,29,22,Chemicals | Vadodara +12 other locations,NA
4381,JP Infra,"Promotions, Company Culture, Work Satisfaction",,3.7,255,1.4k,25,7,Real Estate | Mumbai +10 other locations,NA
4382,General Energy Management Systems,"Job Security, Skill Development","Promotions, Salary",3.7,255,988,20,29,Industrial Machinery | Noida +39 other locations,NA
4383,Battery Smart,"Job Security, Promotions, Company Culture",,3.3,255,885,19,17,Auto Components | Gurugram +31 other locations,NA
4384,Latinem,"Work Life Balance, Salary",Promotions,3.8,255,575,53,25,Real Estate | Hyderabad +3 other locations,NA
4385,Kovai Medical Center and Hospital,"Job Security, Company Culture, Skill Development","Promotions, Salary",4.2,255,964,4,1,Healthcare | Coimbatore +12 other locations,NA
4386,Cargo Motors,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.1,254,872,13,4,Automobile | Ahmedabad +22 other locations,NA
4387,Mahagun India,"Promotions, Salary, Job Security",,3.1,254,998,16,24,Real Estate | Noida +5 other locations,NA
4388,Singareni Collieries Company,"Work Life Balance, Job Security, Work Satisfaction",,4.5,254,583,12,--,Metals & Mining | Hyderabad +19 other locations,NA
4389,Epigral,"Work Life Balance, Job Security, Company Culture",Promotions,4.1,256,1.4k,22,--,Chemicals | Bharuch +5 other locations,NA
4390,Captain Fresh,"Salary, Company Culture, Work Life Balance","Job Security, Promotions",3.9,254,1.2k,13,2,Food Processing | Bengaluru +27 other locations,NA
4391,Data Marshall,"Promotions, Company Culture, Work Life Balance",,3.3,254,1.3k,13,6,Analytics & KPO | Hyderabad +6 other locations,NA
4392,Azad Engineering,Salary,,3.8,254,1.2k,17,--,Engineering & Construction | Hyderabad +13 other locations,NA
4393,Leap Finance,"Job Security, Promotions, Work Life Balance",,3.2,254,1k,77,9,FinTech | Bengaluru +15 other locations,NA
4394,Lloyds Technology Centre,Work Life Balance,"Promotions, Work Satisfaction",3.5,254,3.3k,56,48,IT Services & Consulting | Hyderabad +8 other locations,NA
4395,Sona Koyo Steering Systems,"Skill Development, Company Culture, Job Security",Salary,4.3,253,364,7,5,Auto Components | Gurugram +17 other locations,NA
4396,Sequential Technology International,"Work Life Balance, Work Satisfaction, Company Culture",Promotions,4.1,253,896,11,--,BPO | Gurugram +4 other locations,NA
4397,Tangoe,Work Life Balance,"Promotions, Job Security, Salary",3.8,253,1.2k,26,--,IT Services & Consulting | Bengaluru +4 other locations,NA
4398,KGK Group,"Promotions, Company Culture, Work Satisfaction",,3.3,253,1.2k,13,25,Jewellery | Mumbai +15 other locations,NA
4399,Apothecon Pharmaceuticals,"Work Life Balance, Job Security, Salary",,4.4,253,1k,21,3,Pharma | Vadodara +9 other locations,NA
4400,El Seif Engineering Contracting,"Salary, Company Culture, Work Life Balance",Promotions,4.3,253,315,10,--,Engineering & Construction | Riyadh +17 other locations,NA
4401,PhyCARE Solutions,"Job Security, Work Life Balance, Work Satisfaction","Promotions, Salary",3.7,254,950,18,--,Healthcare | Hyderabad +7 other locations,NA
4402,Kisna Diamonds - HK Jewels,"Promotions, Job Security, Work Satisfaction",,3.4,253,592,22,22,Jewellery | Mumbai +50 other locations,NA
4403,Agilysys Technologies India,Salary,"Work Life Balance, Work Satisfaction, Company Culture",3.3,254,2.6k,60,12,Software Product | Chennai +4 other locations,NA
4404,Leeford Healthcare,"Salary, Work Life Balance, Company Culture",,4.1,253,606,14,5,Pharma | Ludhiana +69 other locations,NA
4405,Indian Oil- Adani Gas,"Job Security, Work Life Balance",Promotions,3.8,253,1.2k,22,11,Oil & Gas | Noida +33 other locations,NA
4406,Zee Learn,"Promotions, Company Culture, Work Life Balance",,3.7,253,948,15,4,Education & Training | Mumbai +34 other locations,NA
4407,Royal Infraconstru,"Promotions, Company Culture, Work Satisfaction",,3.3,253,783,20,1,Engineering & Construction | Kolkata +37 other locations,NA
4408,Amazon Distributors,Promotions,,3.8,254,515,9,--,New Delhi +36 other locations,NA
4409,ATC Telecom Infrastructure,"Company Culture, Salary, Work Life Balance",Promotions,4.3,253,763,14,--,Telecom | Gurugram +47 other locations,NA
4410,Malabar Group Of Companies,Job Security,"Promotions, Work Satisfaction, Salary",3.7,253,1.3k,9,8,Jewellery | Kozhikode +55 other locations,NA
4411,HyperCITY,"Skill Development, Work Life Balance, Company Culture",,4.7,252,388,4,--,Retail | Mumbai +21 other locations,NA
4412,Mahindra Susten,"Company Culture, Job Security, Work Life Balance",,4.4,252,969,13,6,Engineering & Construction | Mumbai +28 other locations,NA
4413,Leayan Global,"Skill Development, Work Life Balance, Company Culture","Salary, Promotions",4.0,252,651,10,--,Fashion & Textile | Kanpur +46 other locations,NA
4414,British Paints,Salary,"Promotions, Company Culture, Work Satisfaction",3.6,252,652,24,--,Chemicals | New Delhi +77 other locations,NA
4415,Zyoin,"Job Security, Promotions, Salary",,3.6,252,824,22,5,Recruitment | Bengaluru +6 other locations,NA
4416,Cordova Publication,"Promotions, Job Security, Work Satisfaction",,3.5,252,538,5,1,Printing & Publishing | Noida +54 other locations,NA
4417,CGM ARIA Health Services,"Promotions, Job Security",,3.6,252,519,24,2,Software Product | Noida +6 other locations,NA
4418,Objectways Technologies,"Promotions, Salary, Skill Development",,3.1,252,1.5k,17,1,IT Services & Consulting | Karur +8 other locations,NA
4419,Welspun Global Brands,"Promotions, Work Satisfaction",,3.8,252,837,10,--,Fashion & Textile | Mumbai +37 other locations,NA
4420,GTL Limited,"Work Life Balance, Company Culture, Salary",,4.3,252,582,10,3,Hardware & Networking | Pune +38 other locations,NA
4421,Vinove Software & Services,"Promotions, Job Security, Salary",,3.5,252,764,62,3,IT Services & Consulting | Noida +5 other locations,NA
4422,GE Aviation,"Company Culture, Work Life Balance, Job Security","Promotions, Salary",4.0,252,1.3k,23,--,Aviation | Pune +7 other locations,NA
4423,Meghmani Industries,"Promotions, Salary, Skill Development",,3.5,252,1.2k,14,--,Agro Chemicals | Bharuch +22 other locations,NA
4424,Apollo 247,"Promotions, Company Culture, Work Satisfaction",,3.4,252,1.7k,24,18,Healthcare | Hyderabad +21 other locations,NA
4425,Calderys India Refractories,"Company Culture, Job Security, Work Life Balance",Promotions,4.1,252,1k,29,143,Metals & Mining | Nagpur +20 other locations,NA
4426,iServeU,"Skill Development, Salary, Work Life Balance",,4.1,253,1.1k,25,8,FinTech | Bhubaneswar +6 other locations,NA
4427,Shalina Healthcare,"Promotions, Company Culture, Work Satisfaction",,3.3,252,748,13,11,Pharma | Pune +14 other locations,NA
4428,Richfeel Health & Beauty,"Promotions, Salary, Company Culture",,2.8,251,595,5,1,Beauty & Personal Care | Mumbai +38 other locations,NA
4429,Grassroots BPO,"Promotions, Salary, Company Culture",,3.4,252,800,10,4,BPO | Bengaluru +7 other locations,NA
4430,Amantya Technologies,"Company Culture, Work Life Balance, Skill Development",,4.0,251,1.5k,52,95,IT Services & Consulting | Gurugram +5 other locations,NA
4431,Oncquest Laboratories,"Promotions, Company Culture, Job Security",,3.3,251,899,14,--,Healthcare | New Delhi +29 other locations,NA
4432,Galgotias University,"Promotions, Skill Development, Company Culture",,3.4,251,907,19,2,Education & Training | Greater Noida +11 other locations,NA
4433,Jain University,"Promotions, Work Satisfaction, Company Culture",,3.5,251,937,28,--,Education & Training | Bengaluru +8 other locations,NA
4434,Wheels Emi,"Promotions, Job Security",,3.8,251,844,17,--,Auto Components | Pune +57 other locations,NA
4435,Mangalam Cement,"Work Life Balance, Job Security, Company Culture",Promotions,4.1,251,925,17,17,Building Material | Kota +31 other locations,NA
4436,KANINI Software Solutions,"Skill Development, Company Culture, Work Life Balance",,3.9,251,1.3k,50,12,IT Services & Consulting | Chennai +8 other locations,NA
4437,Cardinal Health,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,251,1.2k,34,7,Pharma | Bengaluru +9 other locations,NA
4438,New Allenberry Works,"Company Culture, Promotions, Salary",,3.4,252,924,16,--,Power | Faridabad +11 other locations,NA
4439,Sophos Technologies,Work Life Balance,"Promotions, Skill Development",3.7,251,1.8k,29,24,Software Product | Bengaluru +7 other locations,NA
4440,RG Stone Urology & Laparoscopy Hospital,"Job Security, Work Life Balance, Company Culture","Salary, Promotions",3.9,252,735,7,98,Healthcare | New Delhi +16 other locations,NA
4441,Betsol,"Job Security, Promotions, Skill Development",,3.6,251,1.5k,41,5,IT Services & Consulting | Bengaluru +3 other locations,NA
4442,Bright Life Care,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.0,251,817,15,--,Fitness & Wellness | Gurugram +47 other locations,NA
4443,Sudhir Power,"Promotions, Company Culture, Job Security",,3.7,251,1.1k,19,6,Power | Gurugram +36 other locations,NA
4444,Mercurius Advisory Services,"Company Culture, Work Life Balance, Job Security",,4.4,252,548,36,27,Accounting & Auditing | New Delhi +2 other locations,NA
4445,Riviera Infraprojects,"Salary, Work Life Balance, Skill Development",,4.1,252,739,11,5,Engineering & Construction | Ahmedabad +15 other locations,NA
4446,Turtle,"Promotions, Salary, Job Security",,3.2,251,699,14,--,Fashion & Textile | Kolkata +38 other locations,NA
4447,Business for Social Responsibility,"Work Life Balance, Promotions, Work Satisfaction",,3.2,251,519,20,--,Accounting & Auditing | Mumbai +20 other locations,NA
4448,Central Tool Room & Training Centre,"Skill Development, Work Life Balance, Company Culture",Salary,4.1,250,620,7,--,Industrial Machinery | Bhubaneswar +17 other locations,NA
4449,ASUS,"Company Culture, Work Life Balance, Work Satisfaction",,4.2,250,957,22,5,Consumer Electronics & Appliances | Mumbai +53 other locations,NA
4450,Bajaj Healthcare,"Promotions, Company Culture, Salary",,3.3,250,1.3k,12,3,Pharma | Vadodara +12 other locations,NA
4451,Real Time Data Services,"Job Security, Company Culture, Work Life Balance",,4.1,250,1.3k,30,15,IT Services & Consulting | Gurugram +5 other locations,NA
4452,Meneta Automotive Components,Job Security,"Promotions, Company Culture, Skill Development",3.8,250,929,20,--,Auto Components | Sonipat +7 other locations,NA
4453,Dataflow Group,"Promotions, Skill Development, Work Satisfaction",,2.9,250,1.1k,20,8,Law Enforcement & Security | Noida +8 other locations,NA
4454,Rittal,Job Security,"Promotions, Salary, Company Culture",3.8,250,1.1k,15,2,Industrial Machinery | Bengaluru +19 other locations,NA
4455,Newgen Knowledge Works,"Promotions, Salary, Company Culture",,3.4,250,1.2k,14,--,Printing & Publishing | Chennai +10 other locations,NA
4456,GS Engineering & Construction,"Salary, Work Life Balance","Job Security, Work Satisfaction",3.7,250,668,10,1,Engineering & Construction | Mumbai +19 other locations,NA
4457,Xtancia Technosoft,"Company Culture, Work Satisfaction, Skill Development",,4.0,250,49,40,--,Software Product | Chennai +2 other locations,NA
4458,Emversity,"Skill Development, Company Culture, Work Satisfaction",,4.2,250,231,72,--,Education & Training | Bengaluru +27 other locations,NA
4459,LOTS Wholesale Solutions,"Salary, Company Culture, Work Life Balance",Promotions,3.9,250,982,20,8,Food Processing | New Delhi +6 other locations,NA
4460,Enviri,"Promotions, Skill Development",,3.9,250,1.3k,18,40,Waste Management | Hyderabad +20 other locations,NA
4461,Aditya Infotech,"Work Life Balance, Job Security, Company Culture",,4.3,250,1.1k,14,5,IT Services & Consulting | Noida +42 other locations,NA
4462,Canam Consultants,"Job Security, Promotions, Company Culture",,3.3,250,825,12,18,Education & Training | Chandigarh +22 other locations,NA
4463,Decorpot,"Promotions, Company Culture, Work Satisfaction",,3.1,250,1k,27,32,Architecture & Interior Design | Bengaluru +17 other locations,NA
4464,Inland World Logistics,"Promotions, Company Culture, Work Satisfaction",,3.5,250,855,12,4,Logistics | Mumbai +48 other locations,NA
4465,Avance Consulting Services,Job Security,,3.8,250,1.3k,11,1,Recruitment | Hyderabad +6 other locations,NA
4466,Venus Industrial Corporation,"Work Life Balance, Job Security",Promotions,4.0,250,1k,18,11,Industrial Machinery | Faridabad +16 other locations,NA
4467,Electropneumatics & Hydraulics (I),"Job Security, Salary, Company Culture",,4.1,250,1.1k,23,12,Industrial Machinery | Pune +5 other locations,NA
4468,Zenex Animal Health,"Work Life Balance, Company Culture, Work Satisfaction",,4.6,253,239,76,3,Pharma | Ahmedabad +48 other locations,NA
4469,Media.net Software Services (India),"Promotions, Job Security, Skill Development",,3.2,250,2.1k,77,--,Marketing & Advertising | Mumbai +9 other locations,NA
4470,Easyday Club,"Skill Development, Work Life Balance, Work Satisfaction",,4.6,249,438,11,--,Retail | New Delhi +74 other locations,NA
4471,Infocus Technologies,"Work Life Balance, Skill Development",Promotions,3.9,250,647,25,--,IT Services & Consulting | Kolkata +15 other locations,NA
4472,Intersoft Data Labs,"Promotions, Job Security, Skill Development",,3.6,249,1.4k,22,8,IT Services & Consulting | Gurugram +8 other locations,NA
4473,ITCONS e-Solutions,"Promotions, Salary, Job Security",,3.5,250,615,18,4,IT Services & Consulting | Noida +69 other locations,NA
4474,Toyotetsu India Auto Parts,Work Life Balance,"Promotions, Work Satisfaction",3.9,249,834,12,10,Auto Components | Bengaluru +9 other locations,NA
4475,Motorola,"Work Life Balance, Company Culture, Work Satisfaction",,4.2,249,1.1k,18,--,Consumer Electronics & Appliances | Bengaluru +63 other locations,NA
4476,WeRize,"Company Culture, Promotions, Work Life Balance",,3.2,249,1.1k,21,6,Financial Services | Bengaluru +19 other locations,NA
4477,Godawari Power & Ispat,"Work Life Balance, Job Security, Company Culture",,4.3,249,830,15,1,Iron & Steel | Raipur +12 other locations,NA
4478,Niit Foundation,"Company Culture, Work Life Balance, Skill Development",Promotions,4.0,250,657,16,3,Education & Training | New Delhi +49 other locations,NA
4479,Millennium Engineers & Contractors,"Company Culture, Job Security, Skill Development",,4.1,249,1.1k,13,--,Engineering & Construction | Pune +7 other locations,NA
4480,Kotak Mahindra General Insurance,"Promotions, Company Culture, Work Satisfaction",,3.7,249,1.4k,14,2,Insurance | Mumbai +49 other locations,NA
4481,Toyotetsu India Auto Parts,Work Life Balance,"Promotions, Work Satisfaction",3.9,249,834,12,10,Auto Components | Bengaluru +9 other locations,NA
4482,Health Insurance TPA of India,"Work Life Balance, Job Security","Promotions, Skill Development, Salary",3.9,249,912,20,1,Insurance | Noida +24 other locations,NA
4483,WeRize,"Company Culture, Promotions, Work Life Balance",,3.2,249,1.1k,21,6,Financial Services | Bengaluru +19 other locations,NA
4484,Motorola,"Work Life Balance, Company Culture, Work Satisfaction",,4.2,249,1.1k,18,--,Consumer Electronics & Appliances | Bengaluru +63 other locations,NA
4485,L. V. Prasad Eye Institute,"Job Security, Company Culture, Skill Development",Promotions,4.2,249,629,13,7,Healthcare | Hyderabad +19 other locations,NA
4486,Simpson,"Promotions, Salary, Company Culture",,3.4,249,1.2k,12,6,Auto Components | Chennai +9 other locations,NA
4487,Credgenics,"Work Life Balance, Company Culture, Job Security",,4.0,249,1.4k,42,5,FinTech | Noida +6 other locations,NA
4488,Riddhi Corporate Services,"Work Life Balance, Work Satisfaction","Promotions, Job Security",3.9,249,797,14,--,IT Services & Consulting | Ahmedabad +56 other locations,NA
4489,Concentrix Catalyst,"Promotions, Skill Development, Work Satisfaction",,3.1,249,2.5k,37,--,IT Services & Consulting | Hyderabad +10 other locations,NA
4490,WizKlub,"Promotions, Job Security, Company Culture",,2.8,249,819,33,--,EdTech | Bengaluru +14 other locations,NA
4491,Exusia,"Promotions, Skill Development, Company Culture",,3.3,248,756,28,2,IT Services & Consulting | Pune +12 other locations,NA
4492,Ricoh,"Work Life Balance, Company Culture, Work Satisfaction",,4.0,248,719,9,--,IT Services & Consulting | New Delhi +43 other locations,NA
4493,Interocean Group,"Job Security, Work Life Balance, Work Satisfaction",,4.4,248,268,9,9,Ports & Shipping | New Delhi +19 other locations,NA
4494,Edward Food Research and Analysis Centre,Skill Development,"Job Security, Promotions",3.7,248,639,35,--,Analytics & KPO | Kolkata +4 other locations,NA
4495,Saint Gobain Sekurit India,Job Security,"Promotions, Salary, Work Satisfaction",3.7,248,915,16,--,Auto Components | Chennai +16 other locations,NA
4496,Bombay Stock Exchange,Job Security,"Promotions, Work Satisfaction, Salary",3.4,248,1.7k,9,2,Financial Services | Mumbai +14 other locations,NA
4497,Diamond Beverages,"Promotions, Company Culture, Salary",,3.0,248,772,28,2,Beverage | Kolkata +5 other locations,NA
4498,Huntsman International,"Work Life Balance, Company Culture, Salary",Promotions,4.1,248,1k,11,8,Chemicals | Mumbai +25 other locations,NA
4499,KTL Automobile,"Company Culture, Work Life Balance, Skill Development",,3.9,248,1.1k,24,--,Automobile | Lucknow +69 other locations,NA
4500,Riddhi Corporate Services,"Work Life Balance, Work Satisfaction","Promotions, Job Security",3.9,249,797,14,--,IT Services & Consulting | Ahmedabad +56 other locations,NA
4501,Saint Gobain Sekurit India,Job Security,"Promotions, Salary, Work Satisfaction",3.7,248,915,16,--,Auto Components | Chennai +16 other locations,NA
4502,InvestoXpert,"Company Culture, Skill Development, Salary",,4.3,248,428,132,3,Real Estate | Noida +12 other locations,NA
4503,Vantive,"Company Culture, Work Life Balance, Work Satisfaction",,4.5,248,267,89,12,Healthcare | Bengaluru +7 other locations,NA
4504,Concentrix Catalyst,"Promotions, Work Satisfaction, Skill Development",,3.1,249,2.5k,37,--,IT Services & Consulting | Hyderabad +10 other locations,NA
4505,DM Consultants,"Promotions, Salary, Company Culture",,1.4,247,60,3,--,Abu Dhabi +16 other locations,NA
4506,Archirodon,"Skill Development, Work Life Balance, Work Satisfaction",Promotions,4.2,247,386,19,--,Engineering & Construction | Mumbai +23 other locations,NA
4507,Niwas Housing Finance,"Work Life Balance, Salary, Company Culture",,4.1,247,645,10,9,Mumbai +81 other locations,NA
4508,Sraco,Promotions,,3.8,247,569,31,--,Engineering & Construction | Dammam +24 other locations,NA
4509,Som Autotech,"Work Life Balance, Company Culture, Work Satisfaction",,4.0,247,947,17,--,Auto Components | Chhatrapati Sambhajinagar +26 other locations,NA
4510,PMEA Solar Tech Solutions,"Job Security, Salary, Company Culture",,4.0,247,1k,15,--,Automobile | Nashik +14 other locations,NA
4511,Honasa Consumer,Salary,"Work Satisfaction, Job Security, Promotions",3.6,247,910,21,4,Beauty & Personal Care | Gurugram +43 other locations,NA
4512,IIT Madras,"Skill Development, Work Life Balance, Company Culture","Promotions, Job Security",3.9,247,1.1k,28,16,Education & Training | Chennai +9 other locations,NA
4513,Ruloans,"Promotions, Job Security, Salary",,3.7,247,1.1k,19,6,Financial Services | Mumbai +49 other locations,NA
4514,Laborate Pharmaceuticals,"Promotions, Company Culture, Job Security",,3.7,247,891,20,--,Pharma | Panipat +33 other locations,NA
4515,Trantor,"Work Life Balance, Company Culture, Salary",Promotions,3.9,247,1.8k,29,33,IT Services & Consulting | Chandigarh +9 other locations,NA
4516,FoodPanda,"Work Life Balance, Company Culture, Salary",Promotions,3.9,247,813,7,--,Internet | Gurugram +20 other locations,NA
4517,Arrise Bpo Solutions,"Promotions, Company Culture, Job Security",,3.5,247,721,8,4,BPO | Mumbai +59 other locations,NA
4518,Stanley Lifestyles,"Work Satisfaction, Job Security, Work Life Balance",,4.0,247,868,23,26,Furniture & Furnishing | Bengaluru +10 other locations,NA
4519,Chandigarh Group of Colleges,"Promotions, Work Satisfaction, Job Security",,3.8,246,834,21,6,Education & Training | Chandigarh +20 other locations,NA
4520,House of Hiranandani,"Company Culture, Work Life Balance, Job Security",,4.6,246,559,40,--,Real Estate | Mumbai +11 other locations,NA
4521,Sai Service,Job Security,Promotions,3.7,246,1.1k,14,--,Automobile | Mumbai +30 other locations,NA
4522,Mayfair Hotels & Resorts,"Job Security, Company Culture, Skill Development",,4.2,246,835,17,1,Hospitality | Bhubaneswar +16 other locations,NA
4523,Plada Infotech Services,"Promotions, Job Security, Company Culture",,3.6,246,743,11,1,IT Services & Consulting | Mumbai +45 other locations,NA
4524,Xeam Ventures,"Job Security, Promotions, Salary",,3.5,246,857,14,--,Recruitment | New Delhi +69 other locations,NA
4525,Credera,"Job Security, Promotions, Company Culture",,3.2,246,1.9k,41,30,IT Services & Consulting | Hyderabad +10 other locations,NA
4526,Lucy Electric,"Work Life Balance, Company Culture","Promotions, Salary",3.9,246,1.1k,17,6,Electrical Equipment | Nashik +15 other locations,NA
4527,Varite,"Job Security, Promotions, Skill Development",,3.5,247,1.2k,20,25,IT Services & Consulting | Bengaluru +11 other locations,NA
4528,NextGen Healthcare,Work Life Balance,"Promotions, Job Security, Skill Development",3.7,246,1.5k,18,--,Software Product | Bengaluru +11 other locations,NA
4529,Terrier Security Services,"Work Life Balance, Salary, Company Culture",,4.2,246,653,13,1,Law Enforcement & Security | Bengaluru +40 other locations,NA
4530,Raj Petro Specialities,"Work Life Balance, Company Culture, Job Security","Promotions, Salary",3.9,246,1k,7,--,Oil & Gas | Chennai +25 other locations,NA
4531,Naga Limited,"Promotions, Salary, Company Culture",,3.7,246,1.3k,16,--,Food Processing | Dindigul +22 other locations,NA
4532,IIFL Securities,Work Life Balance,Promotions,3.8,246,1.6k,22,--,Financial Services | Mumbai +41 other locations,NA
4533,Net Solutions,Company Culture,"Salary, Promotions",3.8,245,813,10,2,IT Services & Consulting | Chandigarh +4 other locations,NA
4534,L&T Water & Effluent Treatment,"Job Security, Skill Development, Salary",,4.1,245,317,10,--,Engineering & Construction | Chennai +58 other locations,NA
4535,Bizcrum Infotech,"Job Security, Promotions, Skill Development",,3.5,245,795,14,--,Internet | New Delhi +59 other locations,NA
4536,Rishabh Software,"Promotions, Job Security",,3.6,245,1.7k,15,46,IT Services & Consulting | Vadodara +12 other locations,NA
4537,The Smart Cube,Job Security,"Promotions, Salary, Work Satisfaction",3.5,245,1.9k,30,--,Management Consulting | Noida +7 other locations,NA
4538,Smith+Nephew,"Work Life Balance, Company Culture, Job Security",Promotions,4.1,245,1.5k,12,21,Medical Equipment | Pune +20 other locations,NA
4539,C. L. GUPTA EXPORTS,"Company Culture, Work Life Balance, Work Satisfaction",,4.3,245,831,8,--,Import & Export | Moradabad +8 other locations,NA
4540,Muthoot Money,"Company Culture, Work Life Balance, Job Security",,3.9,245,731,21,--,NBFC | Hyderabad +81 other locations,NA
4541,ITW India,"Promotions, Work Life Balance, Work Satisfaction",,3.7,245,1.2k,17,7,Automobile | Pune +18 other locations,NA
4542,Health Prime Services (India),"Promotions, Company Culture, Work Life Balance",,3.5,245,921,17,5,Medical Equipment | Mumbai +11 other locations,NA
4543,VSynergize Outsourcing,"Job Security, Promotions, Company Culture",,3.1,245,905,8,13,Marketing & Advertising | Pune +1 other locations,NA
4544,National Contracting Company,Work Life Balance,Promotions,4.0,245,648,4,--,Engineering & Construction | Chennai +19 other locations,NA
4545,Clearpack,"Skill Development, Salary, Work Satisfaction",,4.1,245,1.1k,26,--,Industrial Machinery | Greater Noida +17 other locations,NA
4546,Securens System,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,3.9,245,750,9,188,Law Enforcement & Security | Mumbai +36 other locations,NA
4547,Goodluck,Promotions,,3.8,245,898,24,--,Iron & Steel | Ghaziabad +24 other locations,NA
4548,Everllence,"Work Life Balance, Job Security","Promotions, Salary, Skill Development",3.7,245,1.2k,15,6,Industrial Machinery | Chhatrapati Sambhajinagar +10 other locations,NA
4549,Sila Solutions,"Promotions, Company Culture, Work Satisfaction",,3.8,245,768,19,15,Facility Management Services | Mumbai +22 other locations,NA
4550,Forvia,"Promotions, Salary, Work Satisfaction",,3.4,245,1.3k,26,--,Auto Components | Pune +13 other locations,NA
4551,Coolberg Beverages,"Job Security, Work Satisfaction, Promotions",,3.3,244,496,25,--,Beverage | Mumbai +40 other locations,NA
4552,Onkar Infotech,"Job Security, Work Life Balance","Promotions, Skill Development",3.9,244,699,10,4,BPO | Gurugram +3 other locations,NA
4553,National Securities Depository,Job Security,"Promotions, Work Satisfaction, Salary",3.4,244,1.8k,15,--,Financial Services | Mumbai +10 other locations,NA
4554,AONE OUTSOURCING SOLUTIONS,"Company Culture, Work Life Balance, Work Satisfaction",,4.6,244,320,21,--,Financial Services | Ghaziabad +7 other locations,NA
4555,GeeksForGeeks,"Job Security, Promotions, Work Satisfaction",,2.8,244,1.1k,46,2,Education & Training | Noida +10 other locations,NA
4556,Essar Power,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",4.0,244,1k,7,--,Power | Jamnagar +18 other locations,NA
4557,Suminter India Organics,Company Culture,"Promotions, Salary",3.8,244,832,19,6,FMCG | Mumbai +25 other locations,NA
4558,Adfactors PR,Job Security,"Promotions, Company Culture, Work Satisfaction",3.3,244,1.8k,17,15,Marketing & Advertising | Mumbai +12 other locations,NA
4559,Tatvasoft,"Promotions, Skill Development, Salary",,3.3,244,1.7k,66,2,IT Services & Consulting | Ahmedabad +6 other locations,NA
4560,Allianz,"Work Life Balance, Job Security, Company Culture",Promotions,4.4,244,1.7k,20,9,Insurance | Thiruvananthapuram +15 other locations,NA
4561,KPC Projects,Promotions,,3.9,244,855,21,7,Engineering & Construction | Hyderabad +28 other locations,NA
4562,Sika,"Work Life Balance, Salary",Promotions,3.9,244,970,22,5,Chemicals | Mumbai +35 other locations,NA
4563,Microchip Technology,"Work Life Balance, Company Culture","Promotions, Salary, Skill Development",3.8,244,1.9k,40,92,Semiconductors | Bengaluru +6 other locations,NA
4564,Global Edge Software,"Salary, Promotions, Company Culture",,3.4,244,1.5k,25,--,Software Product | Bengaluru +9 other locations,NA
4565,Shri Bajrang Power & Ispat,"Work Life Balance, Job Security, Work Satisfaction","Promotions, Salary",4.0,244,995,23,8,Power | Raipur +14 other locations,NA
4566,Mahindra Defence Systems,"Work Life Balance, Job Security",Promotions,4.0,245,1.2k,16,--,Defence & Aerospace | Pune +25 other locations,NA
4567,ION Group,"Promotions, Job Security, Work Satisfaction",,2.4,245,1.7k,113,21,Software Product | Noida +8 other locations,NA
4568,GMM Pfaudler,Work Life Balance,Promotions,3.8,244,1.3k,13,--,Industrial Machinery | Anand +11 other locations,NA
4569,Cryoviva Biotech,"Promotions, Company Culture, Work Satisfaction",,3.4,244,614,14,1,Biotechnology | Gurugram +46 other locations,NA
