id,name,country,height,weight,team
8694,W. Faes,Belgium,187,84,Leicester
17736,D. Iversen,Denmark,193,80,Leicester
18146,D. Ward,Wales,191,88,Leicester
18741,C. Coady,England,185,80,Leicester
18771,Ricardo Pereira,Portugal,175,70,Leicester
18943,J. Vestergaard,Denmark,199,94,Leicester
20079,H. Souttar,Australia,200,101,Leicester
30427,C. Okoli,Italy,191,91,Leicester
128338,W. Coulibaly,France,188,77,Leicester
152969,L. Thomas,England,181,71,Leicester
152970,J. Stolarczyk,Poland,194,81,Leicester
158710,V. Kristiansen,Denmark,181,73,Leicester
278115,Harvey George Godsmark-Ford,England,,,Leicester
278118,B. Nelson,England,193,87,Leicester
283290,K. McAteer,England,177,69,Leicester
284530,Brandon Ashley Cover,England,,,Leicester
289624,S. Braybrooke,England,,,Leicester
340573,B. El Khannouss,Morocco,180,70,Leicester
417310,O. Aluko,England,,,Leicester
460853,J. Monga,England,,,Leicester
180,O. Skipp,England,175,70,Leicester
182,H. Winks,England,178,65,Leicester
879,S. Mavididi,England,182,71,Leicester
1098,P. Daka,Zambia,183,71,Leicester
3428,J. Ayew,Ghana,182,80,Leicester
18777,M. Albrighton,England,175 cm,74 kg,Leicester
18779,H. Choudhury,England,178,64,Leicester
18786,W. Ndidi,Nigeria,183,74,Leicester
18788,J. Vardy,England,179,74,Leicester
22233,B. Soumaré,France,188,70,Leicester
215874,T. Cannon,Republic of Ireland,180,64,Leicester
284487,Wanya Marçal,Portugal,181,73,Leicester
303467,A. Fatawu,Ghana,177,73,Leicester
305733,W. Alves,England,192,83,Leicester
434183,J. Evans,England,,,Leicester
164,B. Davies,Wales,181,77,Tottenham
662,T. Ndombélé,France,181,76,Tottenham
19032,R. Sessegnon,England,178,70,Tottenham
19235,D. Spence,England,185,71,Tottenham
19321,J. Rodon,Wales,193,88,Tottenham
25287,K. Danso,Austria,190,85,Tottenham
30776,C. Romero,Argentina,185,78,Tottenham
31354,G. Vicario,Italy,194,83,Tottenham
47519,Pedro Porro,Spain,173,69,Tottenham
149550,J. Tanganga,England,184,76,Tottenham
149551,T. Parrott,Republic of Ireland,185,78,Tottenham
152849,M. van de Ven,Netherlands,193,81,Tottenham
156428,B. Austin,England,188,82,Tottenham
162148,M. Robson,England,182,,Tottenham
162150,N. John,England,178 cm,70 kg,Tottenham
162498,R. Drăgușin,Romania,191,85,Tottenham
265826,A. Kinský,Czechia,190,83,Tottenham
337929,G. Abbott,England,,,Tottenham
344247,Luca Gunter,England,,,Tottenham
361736,Leo Black,England,,,Tottenham
